event,country
"TED@Merck KGaA,",Germany
"Darmstadt,",Germany
Germany,Germany
TEDxPaloAlto,USA
TEDxYorkU,England
TED@Westpac,USA
TEDxOhioStateUniversity,USA
TEDxUppsalaUniversity,Sweden
TEDMED 2017,Canada
TEDxMidAtlantic 2017,USA
TEDxCoconutGrove,USA
Small Thing Big Idea,China
TEDxUniversityofMississippi,USA
Torchbearers,USA
TEDxRosario 2017,USA
TEDxTysons,USA
TEDxBerkleeValencia,Spain
TEDxHull,England
TEDxBroadway,USA
TED2018,Canada
TEDxLincolnSquare,USA
TEDxUIdaho,USA
TEDxLSU,USA
DIY Neuroscience,USA
TEDxMemphis,USA
TEDxFIU,USA
TEDxVCU,USA
TEDxAustinWomen,USA
TEDxUCDavis,USA
TEDxLondon,England
TEDxKakumaCamp,Kenya
TEDxOrlando,USA
TED Salon Optum,USA
TEDxYouth@Beaconstreet,USA
TEDxKlagenfurt,Austria
TED en Español en NYC,USA
TEDxFondduLac,USA
TEDxDePaulUniversity,USA
TED Salon Verizon,USA
We the Future,USA
TED Salon Samsung,USA
TEDxUofT,Canada
TEDxSanFrancisco,USA
TED@BCG Toronto,Canada
TEDxVeniceBeach,USA
TEDxUWLaCrosse,USA
TEDxGateway,Ireland
TED Salon Zebra Technologies,USA
TED Salon: Radical Craft,USA
TEDxUGA,Georgia
The Way We Work,USA
TEDWomen 2018,Canada
TEDxBrisbane,Australia
TED Salon: Belonging,USA
TEDxPurdueU,USA
TEDxSalford,England
TEDxStockholm,Sweden
TEDMED 2018,Canada
TEDxCoventGardenWomen,England
TED Salon Doha Debates,Qatar
TED Salon: Education Everywhere,USA
TED Salon U.S. Air Force,USA
TEDxUHasselt,Belgium
TEDxAarhus,Denmark
TEDxProvincetown,USA
TEDxAmsterdamWomen,Netherlands
TEDxSeattle,USA
TEDxAuckland,New Zealand
TEDxCreightonU,USA
TED2019,Canada
TEDxAlbertopolis,England
TEDxRapidCity,USA
TEDxTaipei,China
TEDxBeaconStreetSalon,USA
TEDxJacksonHole,USA
TEDxMünchen,Germany
TED Salon The Macallan,USA
TEDSummit 2019,Scotland
TEDxWanChai,China
TEDxYouth@München,Germany
TEDxYouth@Valladolid,Spain
TEDxFergusonLibrary,USA
TED Salon Border Stories,USA
TEDxBasel,Netherlands
TED@DuPont,USA
TEDxRiga,Latvia
TEDxJacksonville,USA
TED@BCG Mumbai,India
TED Talks India: Nayi Baat,India
TED Masterclass,USA
TEDxSantaClaraUniversity,USA
TED@NAS,USA
TEDWomen 2019,Canada
Countdown,USA
TEDxChristchurch,New Zealand
TEDxNashville,USA
TED@WellsFargo,USA
TEDxUCLA,USA
TEDxEindhoven,Netherlands
Currently,Canada
TEDxEasthamptonWomen,USA
TEDxTufts,USA
TEDxStCloud,USA
The TED Interview,USA
TED Connects,USA
TEDxDetroit,USA
TEDxQueensU,Canada
TED2020: The Prequel,USA
